,description,eye_color,hair_color,sex
6936,"A tanned woman with long, wavy, blond hair. She has blue eyes, thin, drawn-on eyebrows and she is wearing makeup.",,,
6937,A blonde woman wearing a silver necklace,,,
6938,"An olive-skinned woman with long wet jet-black hair, an oval-shaped face and radiant skin. She has thick eyebrows, round light brown eyes, a slim straight nose, high cheek-bones and full lips. She is wearing make-up.",,,
6939,A woman with long straight brown hair and big brown eyes. She has a straight narrow nose and full lips.,,,
6940,A young woman with straight brown hair and shining brown eyes. There is some make-up around her eyes. Her nose is small and her lips are somewhat thick. Her upper teeth are visible. She is smiling,,,
6941,"A young woman with long hair, blue eyes, a small nose and thin lips",,,
6942,A young man with short brown hair. He is wearing aviator sunglasses. His lips are thin. He has got small ears. The man is smiling.,,,
6943,"A grinning pale white man with short brown hair, a wide nose and a slight butt chin",,,
6944,"A woman with a tanned complexion, an oblong face, shiny golden hair and brown roots. She has well-shaped eyebrows, sparkly hazel eyes, a slim straight nose, high cheek-bones, a small mouth, full lips and a chiselled jawline. She is wearing make-up.",,,
6945,"A woman with an elongated face, thin lips and large black eyes. She has long, straight blonde hair with black roots and is wearing makeup. She is also wearing large hoop earrings and is smiling.",,,
6946,"A tanned woman with voluminous, long, wavy hair, thin eyebrows, blue eyes, a pinched nose and a smile. She has dimples and she is wearing makeup.",,,
6947,A young woman with voluminous brown hair and small blue eyes with some black make-up around them. Her lips are thin and she is smiling,,,
6948,"A smiling tanned woman with long brown hair, brown eyes and long nose",,,
6949,"White man, with thin, balding, light brown hair. His eyebrows are furrowed and he is wearing rectangular sunglasses.",,,
6950,"this man has short white hair, he is wearing black glasses and his nose is pointed, his lips are thin and he has a fair complexion",,,
6951,"A man with curly hair, dark eyes, a big nose, small ears and thin lips",,,
6952,"A man with short light brown hair and stubble, bright white teeth and very thin lips. He has a big chin and a shy smile.",,,
6953,A smiling white man with shirt brown hair and a light brown bearad,,,
6954,a young white tanned woman with long blonde hair and dark make u with green eyes,,,
6955,"A slightly tanned man with receding, brown hair, brown eyes a small nose, full lips and a 5 o'clock shadow.",,,
6956,A man with olive skin and medium-length brown hair. His eyebrows are not very thick and they are slightly arched. His eyes are brown and he is looking to his side. A stubble beard is growing on his face.,,,
6957,"A man with curly hair, dark eyes, small nose and thin lips",,,
6958,"A white woman with black hair, thin eyebrows, black eyes, a big nose and thin lips.",,,
6959,"A woman with large black eyes, an elongated face, a short upturned nose and thin lips. She has long chestnut hair and is smiling.",,,
6960,this man has black hair and small eyes. his nose is long and his lips are thin and he has chiselled jawline,,,
6961,"A woman with an oblong face, sparkly green eyes, a long nose and a large mouth. She has pristine teeth and glowing skin. She has long brown straight hair.",,,
6962,"A dark-skinned man with long, frizzy, black hair, a salt-and-pepper chin beard and moustache, bushy eyebrows and a wide smile with prominent cheeks.",,,
6963,"A smiling aging white man with long wavy black hair, brown eyes and a greying-black beard",,,
6964,"this dark-skinned woman has rounded eyebrows, long brown hair, small brown eyes and a pointed nose, she is smiling",,,
6965,"A smiling woman with long, straight, blond hair, thin eyebrows and prominent cheeks. She has a pointed chin and she is wearing makeup.",,,
6966,A young woman with blonde hair and dark roots. Her eyes are blue and there is some make-up around them. Her make-up looks natural. Her lips are thin and her teeth are visible.,,,
6967,"A young woman with blonde hair, dark eyes, small ears and thin lips",,,
6968,"A tanned old man with receding white hair, a large nose, a wide, toothy smile and a stubble beard. His face is round and slightly wrinkly.",,,
6969,"A smiling old white man with short white hair, brown eyes a large nose and stubble",,,
6970,"A grinning white woman with long wavy brown hair, blue eyes",,,
6971,"A woman with long, straight, black hair and bangs. She has prominent cheeks and full lips with a dimpled smile.",,,
6972,"A young woman with short hair, dark eyes, a small nose and thin lips",,,
6973,"A white woman with ombre hair, pointed eyebrows, a pointed nose and big lips.",,,
6974,"A grinning white man with short brown hair, blue eyes and a long nose",,,
6975,"this man has short brown hair, straight eyebrows and small brown eyes, his nose is pointed and his lips are thin",,,
6976,"A white woman with light brown hair and eyebrows, brown eyes, a small nose and small lips.",,,
6977,"A blonde woman with almond-shaped green eyes, a narrow nose, high cheekbones and a defined jawline. She has long, straight blonde hair and has a serious look.",,,
6978,"A smiling white woman with long brown hair, brown eyes and glossy red lips",,,
6979,"A white woman with green eyes, a square-shaped face and long, black hair. She is wearing eyeliner, red lipstick and long earrings.",,,
6980,"A young woman with short hair, dark eyes, a small nose and thin lips",,,
6981,"A woman with a heart-shaped face, radiant skin and long lush hair. She has well-shaped arched eyebrows, sparkly green eyes, a slim long nose, full lips, high cheek-bones and a well-defined jawline. She is wearing heavy make-up.",,,
6982,"this woman has wavy black hair, thin eyebrows and small eyes. her nose is long and her lips are dark red",,,
6983,"A smiling woman with tanned skin and long, straight, dark-brown hair. She has a sharp jawline, sculpted eyebrows and light makeup.",,,
6984,a pale white woman with long brown hair and dark brown eyes and dark make up,,,
6985,A black man wearing a cap with sunglasses on it. He is squinting his eyes and he has a stubble goatee.,,,
6986,A middle-aged man with darker skin. His eyes are almost closed and he seems to be squinting. His nose is big and his lips are thick. His teeth are visible. A thin beard is growing on his face. He is wearing a cap.,,,
6987,A confused looking black ma with a wide nose and a light black goatee,,,
6988,"A balding, older man with whitish hair, blue eyes, a large, slightly crooked nose, thin lips and a trimmed beard.",,,
6989,"An elderly man with orange and white hair and short beard, a large forehead, big nose and small blue eyes.",,,
6990,"An elderly man with short hair, blue eyes, a big nose and thin lips",,,
6991,A white woman with long wavy blonde hair and black eye makeup,,,
6992,A young woman with long brown hair and small brown eyes. There is some make-up around her eyes. Her lips are small and they are painted red. She looks pretty indifferent,,,
6993,A grinning white woman with long brown hair and brown eyes,,,
6994,A tanned white woman with ling brown hair,,,
6995,"A young woman with wavy hair, blue eyes, a small nose and thin lips",,,
6996,"Fair-skinned woman with brown, possibly coloured, wavy hair. She has plump lips and a natural look and she is staring seriously at the camera.",,,
6997,"A woman with dark brown hair that is half-gathered, very expressive light brown eyes, a straight nose and very full red lips.",,,
6998,"A young woman with long hair, dark eyes, a small nose, small ears and thin lips",,,
6999,"A man with long, slightly messy black hair and a soul patch. He has a strong nose and a prominent chin.",,,
7000,"A man with wavy hair, dark eyes, a small nose and thin lips",,,
7001,"An Asian man with short, black hair, a strong jaw, a cleft chin and a moustache. He is smiling and he has a square face.",,,
7002,a young asian man with dark colored hair and dark brown eyes with a moustache,,,
7003,"A woman with long, blond hair and dark roots. She is wearing makeup and smirking.",,,
7004,A young woman with blonde hair and brown roots starting to show. Her eyebrows are thin. Her eyes are blue and small. She is wearing natural make-up and she is smiling. She is also wearing a pair of earrings.,,,
7005,A blonde woman wearing long earrings,,,
7006,"A woman with an oblong face, large light-green eyes, a big mouth and thin lips. She has a pale glowing complexion and long straight pale hair. She is smiling.",,,
7007,"A woman with elongated black eyes. She has a large mouth, pristine teeth, a smooth, glowing complexion. She is smiling.",,,
7008,A young woman with blonde hair pulled back. Her eyes are blue and there is black make-up all around them. Her lips are painted red. Her jawline is very well-defined.,,,
7009,"A pale white woman with blonde hair, blue eyes and red lips",,,
7010,"A middle-aged man with a rounded face puffy cheeks and a large forehead. He has a short nose, small, black eyes and thin lips. He is balding and is smiling.",,,
7011,"A profile of a man with a large nose, thin lips, slit-eyes and short brown hair. He is clean-shaven and is smiling.",,,
7012,"A man with short, light-brown hair, a wide nose, thin pursed lips and green eyes. He has a prominent chin and a slightly wrinkled face.",,,
7013,A middle-aged man with light brown hair and blue eyes. Wrinkles can be seen on his face. His nose is somewhatg wide and his lips are thin and pursed.,,,
7014,A serious looking white man with parted short blonde hair and green eyes,,,
7015,"A woman with a rectangular face, messily pulled-back jet-black hair, a short fringe and a pale complexion. She has well-shaped eyebrows, green hooded eyes, a prominent nose, full red lips and radiant skin.",,,
7016,"A white man with shaggy light brown hair, darker eyebrows, blue eyes, a slender and poined nose, and thin lips.",,,
7017,A young Chinese-looking guy with short dark hair and small dark eyes. His nose is somewhat wide and his lips are thin. His mouth is open and his tongue and upper teeth are visible.,,,
7018,"A smiling Asian man with short brown hair, brown eyes and a small wide nose",,,
7019,A caucasian man with white sideburnes and soul patch on his chin wearing a cowboy hat.,,,
7020,"A middle-aged woman with brown hair, kind eyes, full smiling face and is beaming with happiness.",,,
7021,A young man with short dark hair and thick eyebrows. His eyes are dark-coloured and small. He is winking. His nose is sharp and his lips are thin. His upper teeth are visible. A stubble beard is growing on his face,,,
7022,"A young man with short hair, dark eyes, big nose and thin lips",,,
7023,"this woman has long curly black hair, thin arched eyebrows and small brown eyes, her nose is pointed and her lips are thin",,,
7024,"A middle-aged white man with a long, thin face, small, deep light-blue eyes and high cheekbones. He has white hair and a white goatee and has wrinkles around his eyes.",,,
7025,"An elderly man with an oblong face and a tanned complexion. He has bushy eyebrows, slit eyes, a large droopy nose and a thick lower lip. He has wrinkles and is smiling.",,,
7026,"This is a photo of an older man with seemingly white short hair, He has bushy eyebrows and small brown eyes. His nose is plump and he has thin lips",,,
7027,A smiling black woman with pulled up brown hair brown eyes and blue eye makeup,,,
7028,A young woman with long wavy blonde hair. Her eyebrows are brown and her eyes are blue. There is some black make-up around her eyes. Her lips are thin. She has got an oval face.,,,
7029,"A grinning white woman with long wavy blonde hair, blue eyes and full cheeks",,,
7030,"A man with a square-shaped face, dark slit-eyes, black defined eyebrows and gelled jet-black hair. He is clean-shaven and is smiling.",,,
7031,"A man with a large chin, a long face, pale eyes and a long nose. He has brown hair and large ears.",,,
7032,"this woman has long brown hair and thin eyebrows, she has black eyeliner on her brown eyes and a long thin nose, she has red lipstick on.",,,
7033,"A fair man with thin lips, light-coloured eyes, shaven hair and a large chin. He is clean-shaven and is smiling.",,,
7034,"A plump, older man with greying, receding hair, a wide nose and a double chin. He is smiling and has dimples and rosy cheeks.",,,
7035,A young man with short dark hair and small dark eyes. His skin tone is somewhat pink. His lips are very thin and his upper teeth are visible. He has got a double chin. He is smiling,,,
7036,"A smiling fat old white man with short brown hair, brown eyes and a wide nose",,,
7037,"A middle-aged man with hollow cheeks, a defined jawline and is wearing glasses.",,,
7038,"A serious looking tanned white woman with long brown hair, blue eyes",,,
7039,"A white woman with blonde hair, brown eyebrows, brown eyes, a slender nose and thin lips.",,,
7040,"This is an older man with black hair, bushy eyebrows and small brown eyes. His nose is pointed and his lips are thin",,,
7041,"A dark-skinned woman with large nostrils, a large mouth, pristine white teeth, shaved eyebrows and black eyes. She has long black hair and is smiling.",,,
7042,"An old white man with a friar tuck hair style, white hair and a white beard",,,
7043,"A woman with green eyes, a sharp jaw and high cheekbones. She has sculpted eyebrows, makeup and long, wavy hair.",,,
7044,"A young woman with long hair, blue eyes, a small nose and thin lips",,,
7045,"A middle-aged man with short brown hair, thick eyebrows and small dark eyes. His lips are thin and a thick beard has grown around them. There are some white patches in his beard. He looks serious",,,
7046,"A man with short hair, dark eyes, a small nose and thin lips",,,
7047,"this young man has brown hair, arched eyebrows and small eyes. his long is long and his lips are thin",,,
7048,"A woman with small sparkly black eyes, thin lips, a pale complexion and pulled-back black hair. she is smiling and has dimples.",,,
7049,"A smiling white woman with long wavy ginger hair, brown eyes and a long nose",,,
7050,"An Asian man with wavy jet-black hair, a square-shaped face and radiant skin. He has thick eyebrows, large hooded eyes, a straight nose, full lips and a well-defined jawline.",,,
7051,A young man with curly brown hair and blue eyes. His lips are thin and his upper teeth are visible. He is smiling. A stubble beard is growing on his face. He has got a well-defined jawline,,,
7052,"A smiling white man with short curly brown hair, brown eyes and a chiseled jawline",,,
7053,"A woman with long, straight, dark-brown hair, sculpted eyebrows, dark eyes, full cheeks and a toothy grin.",,,
7054,"A smiling white woman with long brown hair, brown eyes and dull cheeks",,,
7055,This man seems to be wearing a yellow turban around his head. he has a big nose and a lot of facial hair,,,
7056,"An old white man with a small mouth, thin lips, a short nose and small deep-set eyes. He has deep white hair and is clean-shaven.",,,
7057,"A fair woman with a heart-shaped face and neatly pulled-back brown hair with blonde highlights. She has a large forehead, deep-set blue eyes, a small nose, high cheek-bones, pursed lips and a well-defined jawline. She is wearing heavy make-up.",,,
7058,"A middle-aged man with a long face, a long nose, a small mouth and long, black hair. He is looking downwards.",,,
7059,"A dark-skinned man with short, black hair and a large nose. He has soft features.",,,
7060,"An Indian-looking man with short dark-coloured hair and thick dark-coloured eyebrows. His eyes are dark, his lips are slightly parted and his upper teeth are visible. He is smiling.",,,
7061,"A smiling brown Asian man with short black hair, brown eyes and a big nose",,,
7062,A blonde woman holding a white kitten,,,
7063,"A man with short, slightly curly, brown hair, thick, bushy eyebrows, a long nose, pale skin and a smile.",,,
7064,A young man with wavy short brown hair and small brown eyes. His lips are thin and they are curved into a smile,,,
7065,"A smiling white man with short wavy brown hair, brown eyes",,,
7066,"A tanned old man with a reddish tint to his skin. He has short, receding, grey hair, full cheeks, a wide smile and a wrinkly face.",,,
7067,"A man with combed grey hair, long red face, small eyes, big nose, a double chin and thin lips open in a smile.",,,
7068,"An elderly man with short hair, blue eyes, a small nose, big ears and thin lips",,,
7069,"A pale woman with a thin nose, blue eyes and a strong jaw with a cleft chin. She is wearing makeup and she has long, wavy, blond hair.",,,
7070,A young blonde woman with small blue eyes with dark make-up around them. Her nose is narrow and her lips are thin. Her jawline is very well-defined,,,
7071,A serious looking pale woman with blue eyes and long blonde hair,,,
7072,A young Chinese-looking woman with braided dark hair. Her eyes are almost closed and her lips are very thin. Her teeth are visible as she is laughing,,,
7073,"A smiling, Asian woman with braided hair",,,
7074,"this woman has curly brown long hair, her eyebrows are prominently arched and her eyes are brown, her nose are proportionate and her lips are full",,,
7075,"A tanned man with brown hair, thin eyebrows, brown eyes, a big nose, thin lips and a beard.",,,
7076,"A white man with dirty blonde hair, thin eyebrows, icy-blue eyes, a small nose and thin lips.",,,
7077,"A smiling Latina with long brown hair, brown eyes and thick pink lips",,,
7078,A balding man with rosy cheeks and a wide nose. He has a 5 o'clock shadow and a wide smile.,,,
7079,"A man with short hair, a big forehead, long nose and thin lips",,,
7080,"A man with an elongated face, light-blue eyes, a large nose, thin lips and a fair stubble. He has curly blond hair and is smiling.",,,
7081,"A man with a pale complexion, neatly-kept brown hair and a clean-shaven face. He has thick eyebrows, dark brown eyes, a straight nose, thin lips and a cleft chin. He is talking.",,,
7082,"This man has very short black hair and big bushy eyebrows. His eyes are small and brown and his lips are thin, his nose is pointed",,,
7083,"An elderly woman with blond hair, thin eyebrows, green eyes, a pointed nose and thin pink lips.",,,
7084,An Asian-looking girl with long straight dark-coloured hair. She is wearing a tennis Nike cap. She looks worried. Her eyes are small and narrow and her mouth is open. She seems to be gasping. Her front teeth are visible.,,,
7085,"A young woman with short hair, dark eyes, a small nose and thin lips wearing a white hat",,,
7086,A young man with short dark hair and small dark eyes. His lips are pressed together and a stubble beard is growing along his jawline. He is smiling,,,
7087,A grinning white man with short wet brown hair and brown eyes,,,
7088,"A middle-aged white man with grey eyes, having brown and messy unkept hair.",,,
7089,"A pale woman with a dark-brown bob cut. She has a thin nose and full lips, accentuated by her lipstick.",,,
7090,"A young woman with dark hair, small nose and thin lips wearing red lipsticks and long earrings",,,
7091,"A man with short, receding black hair and raised eyebrows. He has a large, red nose and a slightly wrinkly but angular face.",,,
7092,A middle-aged man with short dark hair and dark eyebrows. His eyes are small and dark. He has got a pink nose. His muth is wide open and he seems to be screaming. His tongue and his teeth are visible.,,,
7093,"A surprised old white man with short greying-black hair, a large nose and brown eyes",,,
7094,"A woman with prominent cheeks and long, brown hair. She is wearing makeup and smiling.",,,
7095,A young woman with long straight brown hair parted at the side of her head. Her eyebrows are brown and they are thin. Her eyes are dark-coloured and there is black make-up around them. Her lips are thin and they are slightly parted. Her upper teeth are visible. The woman looks happy and she seems to be thinking.,,,
7096,"A young woman with long hair, dark eyes, a small nose and thin lips",,,
7097,"this girl has her blonde hair tied in ponytails, her eyebrows are rounded and she has pink eyeshadow on, her nose is pointed and she has glossy pink lips",,,
7098,"Aw woman with high cheekbones, a small mouth, large green eyes and short blonde hair. She is wearing makeup and long earrings.",,,
7099,"A dark-skinned woman with a flat nose, full lips, small black eyes and pulled-back black hair. She has a glowing complexion and is smiling.",,,
7100,"A young lady with long straight brown hair, a fair complexion, youthful skin and an oval-shaped face. She has neatly-shaped eyebrows, sparkly green eyes, a button nose, freckled cheeks, thin lips and parted teeth. She is smiling.",,,
7101,"A young woman with light-brown, curly hair that falls to her shoulders. She has thin, sculpted eyebrows, a narrow, pinched nose and she is wearing makeup.",,,
7102,A young woman with blonde hair styled in large curls. Her roots are starting to show and her original hair colour is dark brown. Her eyebrows match the colour of her roots and they are not arched. Her eyes are very dark and big. Her nose is small and she has got a heavy lower lip. Her lips are painted red. She is wearing silver earrings.,,,
7103,"A fair woman with a porcelain complexion, radiant skin and neatly-styled golden hair. She has a large forehead, arched eyebrows, sparkly dark brown eyes, a slim long nose, high cheek-bones, full red lips and a chiselled jawline.",,,
7104,A woman with curly hair and a small nose wearing red lipstick,,,
7105,"Woman with styled, wavy hair, having a light skin tone, and defined facial features. Her face is made-up to accentuate her dark-coloured eyes, her chiselled nose and her full lips.",,,
7106,"A smiling white woman with long brown hair, brown eyes, red lips and a long nose",,,
7107,A young girl with brown hair. Some strands are dyed blonde. Her eyes are dark-coloured and there is some black make-up around them. Her lips are thin and her upper teeth are visible. She is smiling,,,
7108,"A smiling, white woman with long blonde hair",,,
7109,A young boy with short blonde hair and brown roots. His eyebrows are brown and thick and his eyes are brown. His lips are very thin.,,,
7110,A young man with blonde hair and big ears,,,
7111,"A woman with long, slicked-back, dark-brown hair, thick eyebrows, blue eyes, a small nose, full lips and some makeup.",,,
7112,"A focused white woman with long brown hair, blue eyes and rosy cheeks",,,
7113,"Light-skinned woman with brown, wavy hair having a long fringe, parted towards her right-hand side. She is wearing make-up, has large cheeks and is smiling.",,,
7114,"A pale man with short, black hair, thick eyebrows, narrow, dark eyes and a square face. He is smiling slightly.",,,
7115,"A young man with brown hair, very small eyes, a small nose and small thin lips. He has got a round face and his complexion is very light. His look is somewhat mysterious.",,,
7116,"A grinning white man with short brown hair, brown eyes and a defined jawline",,,
7117,"A woman with very pale skin and straight orange hair. She has blue eyes, a straight nose, full lips and a well-defined jawline. She is wearing make-up, especially around her eyes.",,,
7118,"A man with a tanned complexion, radiant skin, a rectangular face and gelled dark golden hair. He has a large forehead, sparkly blue slit eyes, a slightly crooked nose, a neatly-kept stubble and moustache, high cheek-bones and a chiselled jawline.",,,
7119,"This girl has curly ginger hair, thin eyebrows and big blue eyes. Her nose is long and she is smiling",,,
7120,"A pale skinned round male face with wrinkles, very narrow eyes, and a wide smile with yellow-stained teeth.",,,
7121,"An elderly man with short hair, dark eyes, small nose and thin lips wearing glasses",,,
7122,"A white man with dirty blonde hair, blue eyes, a slender nose and thin lips.",,,
7123,"A grinning chubby old white man with short brown hair, brown eyes, a large nose and has wrinkles",,,
7124,"this man has no hair and his eyebrows are not very visible, his eyes are sunken in and his nose is long and button-like, he has very thin lips and wrinkes",,,
7125,"A woman with a long nose, a thin face, green eyes and brown, long hair.",,,
7126,A young woman with light-brown hair and darker roots. She is smiling and has a strong jaw.,,,
7127,"A young woman with blonde hair, dark eyes, small nose and thin lips",,,
7128,A man with brown hair combed back. His eyebrows can barely be seen. He is very fair. His eyes are small. His lips are parted and he is smiling with his teeth showing.,,,
7129,"A man with short hair, dark eyes, small ears, a small nose and thin lips",,,
7130,"A woman with long red-brown hair, green eyes, a straight narrow nose and full red lips. She has a slightly open smile.",,,
7131,"A young woman with ginger hair, dark eyes, a small nose and thin lips",,,
7132,"A white man with a defined jawline, a fair, trimmed beard and small, blue-eyes. He has fair hair and has dimples.",,,
7133,"A man with a long pale face, a white beard, a grey moustache and a small mouth. He has long white hair and small eyes.",,,
7134,"A black, young woman with short hair, dark eyes, a big nose and thin lips",,,
7135,"A woman with dark brown hair, pointed eyebrows, brown eyes, a small small nose and plump lips.",,,
7136,"A young woman with her hair dyed blonde. Her roots are dark-coloured. Her eyes are dark-coloured, her nose is small and her lips are somewhat thick. Her cheekbones are well-defined.",,,
7137,"A young woman with blonde hair, dark eyes, a small nose and thin lips",,,
7138,"An old man with grey hair. He has got bushy grey eyebrows and only one of his eyes seems to be open. The man seems to be singing into a microphone. He looks very serious. Traces of a beard can be seen around his lips, especially the mousache area.",,,
7139,An elderly man with short hair holding a microphone,,,
7140,"A pale white man with pulled back brown hair, brown eyes and a chiseled jawline",,,
7141,"A young man with short hair, dark eyes, a small nose and thin lips",,,
7142,"A man with short, spiked, light-brown hair and a trimmed beard. He has a wide nose and a smile with dimples.",,,
7143,"A man with light brown hair, square face and a long stubble.",,,
7144,"A young man with short hair, dark eyes, a small nose and thin lips",,,
7145,"A man with spikey brown hair, short eyebrows, brown eyes, a pointed nose, thin lips and a stubble.",,,
7146,A young man with short dark hair. One of his eyebrows is raised. His eyes are small and his lips are thin. Hints of a stubble beard can be seen on his face.,,,
7147,A serious looking white man with short brown hair blue eyes and a long nose,,,
7148,"this man has black hair, very defined and arched eyebrows and small eyes. his nose is pointed and he has a moustache",,,
7149,"A fair man with short amber hair, a pale complexion and a clean-shaven oblong face. He has well-shaped eyebrows, brown eyes, a small nose, full lips and a heavy chin.",,,
7150,"A woman with a short nose, a large mouth, deep, small light-green eyes and long, wavy, blonde hair. She has a fringe and is smiling.",,,
7151,"A smiling white man with short brown hair, brown eyes and a wide nose",,,
7152,"A dark skinned woman with smooth and glowing skin. She has thin eyebrows, dark brown eyes, a flat nose, plump cheeks, large lips and pristine teeth. She is wearing an orange satin turban, bulky gold earrings and make-up.",,,
7153,"A woman with a long, thin nose, large, elongated eyes, high cheekbones and a chiseled jawline. She has short, blonde hair and is wearing makeup.",,,
7154,"A young man with dark brown hair and eyebrows, brown eyes, a big nose and thin lips.",,,
7155,"A black woma with tied-back, black hair and a fringe. Her eyes are brown and she has sculpted eyebrows and a wide smile.",,,
7156,A smiling black woman with long brown hair and dark brown eyes,,,
7157,"A plump man with receding ginger hair, narrow eyes, a large nose and a goatee.",,,
7158,A middle-aged man with short brown hair and small eyes. His nose is small and his lips are thin. A beard is growing around his lips,,,
7159,"A grinning fat white man with short dirty-blonde hair, large nose and a brown goatee",,,
7160,"An Asian woman with straight jet-black hair in a pony tail, a side fringe covering most of her forehead and a heart-shaped face. She has pale skin, large brown eyes, a straight nose, plump cheeks, full lips and a well-defined jawline.",,,
7161,An old man with an oval face. His hair is white and he has got a receding hairline. His eyebrows and moustache are dark-coloured while the beard along his jawline is all white. His eyes are small. Wrinkles can be seen on his face.,,,
7162,"A serious looking old white man with short white hair, brown eyes a large nose and a greying-black goatee",,,
7163,"A man with a large nose, raised eyebrows and a defined jaw. He has sideburns and jet-black hair.",,,
7164,"A woman with shoulder length brown hair, small button nose, and a big mouth in a wide toothy smile.",,,
7165,"A smiling black woman with medium length brown hair, brown eyes and a flat nose",,,
7166,"A woman with large light-blue eyes, a small nose, a small mouth and long dyed blonde hair with black roots. She has thin black eyebrows and is wearing makeup.",,,
7167,"Blonde woman with straight hair that is parted in the middle. She has a thin face with a squarish jaw, and is wearing full make-up as well as pearl earrings.",,,
7168,"An elderly man with a slim oblong face, straight hair and a receding hairline. He has brown slit eyes, a straight nose, thin lips and a prominent chin. He has blotchy skin and large ears.",,,
7169,"this woman has her black hair parted to the side, she has arched eyebrows and darkly coloured eyes. she has a pointed nose and she seems to be wearing lipstick",,,
7170,"A white man with fair hair and eyebrows, a big nose and thin lips.",,,
7171,"A young woman with a sharp jaw and a wide nose. She has thick, sculpted eyebrows and long, straight, black hair.",,,
7172,"A smiling white woman with long brown hair, brown eyes and a defined jawline",,,
7173,A young woman with short dark hair and darker skin. Her eyes are dark-coloured and small and her nose is small. Her lips are somewhat thick.She has got a serious look on her face.,,,
7174,"A young woman with short hair, dark eyes, a small nose and thin lips",,,
7175,A man with short brown hair and a receding hairline. He's also got sideburns. His eyebrows are thick and his eyes are small and blue. His lips are thin and he is smiling with his lips parted. His upper teeth are visible. A stubble beard is growing on his face.,,,
7176,"A young man with curly hair, dark eyes, small nose and thin lips",,,
7177,"A man with high cheekbones, a triangle face, large, blue eyes and a button nose. He has golden hair and some wrinkles on his forehead.",,,
7178,"this is an older man with white hair, fair eyebrows and small brown eyes. his nose is small and pointed and he has thin lips and he also has a pointed jaw",,,
7179,A young man with short dark hair and big blue eyes. His eyebrows are somewhat thick. His lips are thin and a beard is growing around them.,,,
7180,"A grinning white man with short brown hair, blue eyes and a chiseled jawline",,,
7181,"A man with a pale complexion, dark brown hair and an oval-shaped clean-shaven face. He has thick eyebrows, brown slit eyes, a pointy nose, thin lips and a smile on his face.",,,
7182,"A white woman with a long nose, a big mouth and pristine teeth. She has an oval-shaped face and golden hair.",,,
7183,"A woman with a long thin face, a long thin nose, thigh cheekbones and thick eyebrows. She has long black hair and has a serious look.",,,
7184,"A man with thin lips, small black eyes, spiky brown hair and a trimmed black stubble. He has large ears and is smiling.",,,
7185,A balding man with short black hair and a big nose. He has a cleft chin and a slightly wrinkled brow.,,,
7186,"A balding man with a pale complexion, brown hair and a clean-shaven face. He has a large forehead, arched eyebrows, brown hooded eyes, a slim straight nose, full cheeks and a thin upper lip.",,,
7187,"A man with short hair, dark eyes, a pointed nose and thin lips",,,
7188,"A female face with short puffy curly brown hair, dark upturned eyes, a small nose and red slightly full lips.",,,
7189,"A woman with a small face, large green eyes, thick lips and thick black hair. She is wearing makeup and earrings.",,,
7190,A serious looking white woman with short curly brown hair brown eyes and red lips,,,
7191,"A tanned woman with blonde hair, thick brown eyebrows, brown eyes, a slender nose and plump lips.",,,
7192,"A woman with auburn hair that is in a braid having thin eyebrows, light eyes, a slender nose and small lips.",,,
7193,A bald black man with a soul patch and a raised eyebrow. He has small ears.,,,
7194,A focused bald black man with black eyes and a black tuft,,,
7195,"A woman with a small mouth, big, blue eyes, and a fringe.",,,
7196,"this man has black hair, tan skin and rounded eyebrows. his eyes are small and brown and his nose is long and pointed and his lips are thin",,,
7197,"This older man seems to have little to no grey hair, he has bushy eyebrows and brown eyes. He has a pointed nose and full lips",,,
7198,A young lady with brown hair pulled back. She is wearing a pink hairband. Her eyes are dark-coloured and her complexion is very pale. She is smiling.,,,
7199,"A young woman with short hair, dark eyes, a small nose and thin lips wearing a pink headband",,,
7200,"An old man with white, receding hair and bushy eyebrows. He has a large nose, a squinty eye and a smile.",,,
7201,An old man with short white hair and wrinkles on his face. His eyes are blue and one of his eyes is almost closed. His nose is big and his lips are thin. His teeth are visible. He seems to be crying,,,
7202,A white old man with white hair and a big nose,,,
7203,"A woman with short, black hair, bangs, dark eyes, an upturned, pinched nose and an open mouth.",,,
7204,A middle-aged woman with short dark hair and big dark eyes. She is looking to the side and she seems to be talking .Her nose is small and her lips are thin. Her lips are slightly parted.,,,
7205,"A woman with short hair, dark eyes, a small nose and thin lips",,,
7206,"this man has short greyish-brown hair, messy eyebrows and small brown eyes and a long nose, his lips are thin and he is wearing a black top",,,
7207,"A woman a tanned complexion, long dark hair, grey eyes and full lips. She is wearing heavy makeup.",,,
7208,A young woman with thick dark hair and small blue eyes with heavy black make-up around them. Her nose is narrow and her lips are somewhat thick. She has got a heavy lower lip.,,,
7209,A serious looking tanned white woman with long black hair and green eyes,,,
7210,"A blonde woman with high cheekbones, large eyes, a short button nose and thick lips. She has smooth glowing skin and has a serious look.",,,
7211,"This woman has long curly brown hair. thin and arched eyebrows, and smoky eyeshadow on her dark brown eyes. Her nose is long and her lips are full",,,
7212,"An elderly man with ginger hair and eyebrows, green eyes, a big nose and thin lips.",,,
7213,"A woman with large green eyes, thin lips and short blonde hair. She has a fringe covering her left side of her forehead and is looking at something to her left.",,,
7214,"A white man with light brown hair, darker eyebrows, brown eyes, a big nose, plump lips and a light stubble.",,,
7215,"A blonde woman with light-blue eyes, thin lips and a long, thin nose. She has long, straight blonde hair and a fringe.",,,
